,STATE,INST,DISCRIMINATION_TYPE,INVEST_START_DATES
0,AZ,GRAND CANYON UNIVERSITY,Disability - Academic Adjustments,11/08/2024        
1,AZ,GRAND CANYON UNIVERSITY,Disability - Denial of Benefits,11/08/2024        
2,GA,AUGUSTA TECHNICAL COLLEGE,Disability - Academic Adjustments,11/07/2024        
3,GA,AUGUSTA TECHNICAL COLLEGE,Disability - Retaliation,11/07/2024        
4,IL,ILLINOIS STATE UNIVERSITY,Disability - Academic Adjustments,11/05/2024        
5,IN,IVY TECH COMMUNITY COLLEGE,Disability - Retaliation,11/08/2024        
6,LA,LOYOLA UNIVERSITY NEW ORLEANS,Title VI - Admissions,11/06/2024        
7,LA,LOYOLA UNIVERSITY NEW ORLEANS,Age - Discrimination Prohibited,11/06/2024        
8,LA,LOYOLA UNIVERSITY NEW ORLEANS,Disability - Admissions and Recruitment,11/06/2024        
9,NE,CLARKSON COLLEGE,Disability - Denial of Benefits,11/06/2024        
10,NC,NORTH CAROLINA CENTRAL UNIVERSITY,Disability - Academic Adjustments,11/05/2024        
11,NC,PITT COMMUNITY COLLEGE,Title IX - Single Sex Campus Programs,11/07/2024        
12,NC,PITT COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,11/07/2024        
13,OR,UNIVERSITY OF OREGON,Disability - Accessibility,11/08/2024        
14,SD,SOUTH DAKOTA STATE UNIVERSITY,Title VI - Racial Harassment,11/05/2024        
15,SD,SOUTH DAKOTA STATE UNIVERSITY,Title VI - Retaliation,11/05/2024        
16,SD,SOUTH DAKOTA STATE UNIVERSITY,Title IX - Sexual Harassment,11/05/2024        
17,VA,VIRGINIA PENINSULA COMMUNITY COLLEGE,Title IX - Single Sex Campus Programs,11/08/2024        
18,VA,VIRGINIA PENINSULA COMMUNITY COLLEGE,Title IX - Single Sex Scholarships,11/08/2024        
19,VA,UNIVERSITY OF MARY WASHINGTON,Title IX - Single Sex Campus Programs,11/08/2024        
0,VA,UNIVERSITY OF MARY WASHINGTON,Title IX - Single Sex Scholarships,11/08/2024        
